1: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002: 0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2132: 0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5309: 0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4025: 0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2860: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3440: 0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
896: 0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2026: 0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8951: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2939: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1694: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9638: 0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
2857: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5126: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7638: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1470: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2085: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7846: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1445: 0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,1,1,1,1,0,0
6555: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1228: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3938: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1317: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6711: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1725: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8996: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2264: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4865: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3369: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
825: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3544: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6977: 0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2909: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9598: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1
2831: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1155: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5578: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5736: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2616: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5395: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2319: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9487: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4444: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
775: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
479: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4955: 0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8357: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1882: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9822: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7643: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4490: 0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1
1632: 0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
8896: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9788: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9948: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1
594: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8156: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7206: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5952: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008: 0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048: 1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7595: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6513: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10085: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8098: 0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1640: 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10508: 0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
